n,W,V,instancia,tempo_s,valor_maximo,complexidade_nWV
10,20,20,1,0.001825300,242,4000
10,20,20,2,0.001749900,258,4000
10,20,20,3,0.001736500,273,4000
10,20,20,4,0.001906900,285,4000
10,20,20,5,0.002146400,179,4000
10,20,20,6,0.002835000,309,4000
10,20,20,7,0.002234000,304,4000
10,20,20,8,0.002430100,287,4000
10,20,20,9,0.001995300,246,4000
10,20,20,10,0.002128500,298,4000
10,50,50,1,0.002034800,346,25000
10,50,50,2,0.001938900,315,25000
10,50,50,3,0.002236500,184,25000
10,50,50,4,0.002658600,362,25000
10,50,50,5,0.002284400,240,25000
10,50,50,6,0.002831000,300,25000
10,50,50,7,0.002009900,155,25000
10,50,50,8,0.002466000,271,25000
10,50,50,9,0.001801200,243,25000
10,50,50,10,0.002564500,297,25000
10,100,100,1,0.003373700,290,100000
10,100,100,2,0.002702500,360,100000
10,100,100,3,0.003355000,369,100000
10,100,100,4,0.003148500,244,100000
10,100,100,5,0.003152400,239,100000
10,100,100,6,0.003762300,198,100000
10,100,100,7,0.003017200,371,100000
10,100,100,8,0.004712200,312,100000
10,100,100,9,0.002858300,364,100000
10,100,100,10,0.002890000,291,100000
20,40,40,1,0.002852700,486,32000
20,40,40,2,0.002506700,448,32000
20,40,40,3,0.002633900,356,32000
20,40,40,4,0.002534700,332,32000
20,40,40,5,0.002592800,352,32000
20,40,40,6,0.003002200,311,32000
20,40,40,7,0.002686400,345,32000
20,40,40,8,0.002805000,467,32000
20,40,40,9,0.002711300,473,32000
20,40,40,10,0.002728000,341,32000
20,100,100,1,0.003805000,413,200000
20,100,100,2,0.004449700,386,200000
20,100,100,3,0.004515300,435,200000
20,100,100,4,0.003846600,366,200000
20,100,100,5,0.003935700,385,200000
20,100,100,6,0.004000700,452,200000
20,100,100,7,0.004040800,248,200000
20,100,100,8,0.003878600,318,200000
20,100,100,9,0.004136200,395,200000
20,100,100,10,0.003809500,356,200000
20,200,200,1,0.006940000,265,800000
20,200,200,2,0.006827800,386,800000
20,200,200,3,0.007099300,300,800000
20,200,200,4,0.007102300,325,800000
20,200,200,5,0.007190600,281,800000
20,200,200,6,0.007219300,403,800000
20,200,200,7,0.007151000,343,800000
20,200,200,8,0.007149000,331,800000
20,200,200,9,0.007719600,418,800000
20,200,200,10,0.007286300,466,800000
30,60,60,1,0.004051400,639,108000
30,60,60,2,0.003667900,485,108000
30,60,60,3,0.003532400,342,108000
30,60,60,4,0.003288800,368,108000
30,60,60,5,0.003529300,361,108000
30,60,60,6,0.003484200,590,108000
30,60,60,7,0.003005300,451,108000
30,60,60,8,0.003174600,469,108000
30,60,60,9,0.003200400,532,108000
30,60,60,10,0.003599900,534,108000
30,150,150,1,0.006948500,467,675000
30,150,150,2,0.006964800,417,675000
30,150,150,3,0.006700300,546,675000
30,150,150,4,0.006527900,562,675000
30,150,150,5,0.006433700,524,675000
30,150,150,6,0.006494700,411,675000
30,150,150,7,0.006728100,496,675000
30,150,150,8,0.006669200,531,675000
30,150,150,9,0.006263200,573,675000
30,150,150,10,0.006396800,542,675000
30,300,300,1,0.018269100,510,2700000
30,300,300,2,0.017089800,580,2700000
30,300,300,3,0.016974800,565,2700000
30,300,300,4,0.017370800,570,2700000
30,300,300,5,0.016250300,498,2700000
30,300,300,6,0.016567100,446,2700000
30,300,300,7,0.017041100,446,2700000
30,300,300,8,0.016815500,502,2700000
30,300,300,9,0.017282500,453,2700000
30,300,300,10,0.018085800,549,2700000
40,80,80,1,0.004343600,690,256000
40,80,80,2,0.004648800,661,256000
40,80,80,3,0.005387700,495,256000
40,80,80,4,0.003958800,470,256000
40,80,80,5,0.004111900,546,256000
40,80,80,6,0.004305700,416,256000
40,80,80,7,0.004366100,432,256000
40,80,80,8,0.004482100,580,256000
40,80,80,9,0.003855700,471,256000
40,80,80,10,0.004913500,377,256000
40,200,200,1,0.011923100,473,1600000
40,200,200,2,0.011522200,433,1600000
40,200,200,3,0.011286200,704,1600000
40,200,200,4,0.011206900,482,1600000
40,200,200,5,0.011125000,588,1600000
40,200,200,6,0.011244200,366,1600000
40,200,200,7,0.011307900,405,1600000
40,200,200,8,0.011952400,537,1600000
40,200,200,9,0.011649900,645,1600000
40,200,200,10,0.011677600,616,1600000
50,100,100,1,0.005671300,517,500000
50,100,100,2,0.005959000,499,500000
50,100,100,3,0.005897500,729,500000
50,100,100,4,0.006516500,470,500000
50,100,100,5,0.005747500,605,500000
50,100,100,